transaction_id,bank_reference,amount,currency,status,settlement_timestamp
TXN_1001,UTR_BANK_1001,1500.00,INR,SETTLED,2026-09-04T14:00:00Z
TXN_1002,UTR_BANK_1002,2500.00,INR,PENDING,
TXN_1005,UTR_BANK_1005,4500.00,INR,SETTLED,2026-09-03T15:00:00Z
TXN_1006,UTR_BANK_1006,9500.00,INR,SETTLED,2026-09-03T16:00:00Z
TXN_1007,UTR_BANK_1007,1200.00,INR,REJECTED,2026-09-03T17:00:00Z
TXN_1008,UTR_BANK_1008,8000.00,INR,PENDING,
TXN_1009,UTR_BANK_1009A,3000.00,INR,SETTLED,2026-09-04T15:00:00Z
TXN_1009,UTR_BANK_1009B,3000.00,INR,SETTLED,2026-09-04T15:05:00Z
TXN_1010,UTR_BANK_1010,5000.00,INR,SETTLED,2026-09-04T11:00:00Z
TXN_1011,UTR_BANK_1011,2000.00,INR,SETTLED,2026-09-04T12:00:00Z
TXN_1012,UTR_BANK_1012,750.00,INR,SETTLED,2026-09-04T13:30:00Z
TXN_1014,UTR_BANK_1014,5000.00,INR,SETTLED,2026-09-03T14:00:00Z
