transaction_id,gateway_reference,amount,currency,status,payment_timestamp,failure_reason
TXN_1001,GW_REF_1001,1500.00,INR,SUCCESS,2026-09-04T10:00:00Z,
TXN_1002,GW_REF_1002,2500.00,INR,SUCCESS,2026-09-04T12:00:00Z,
TXN_1003,GW_REF_1003,500.00,INR,FAILED,2026-09-04T09:00:00Z,INSUFFICIENT_FUNDS
TXN_1004,GW_REF_1004,3200.00,INR,PENDING,2026-09-04T17:00:00Z,
TXN_1005,GW_REF_1005,4500.00,INR,SUCCESS,2026-09-03T11:00:00Z,
TXN_1006,GW_REF_1006,10000.00,INR,SUCCESS,2026-09-03T12:00:00Z,
TXN_1007,GW_REF_1007,1200.00,INR,SUCCESS,2026-09-03T14:00:00Z,
TXN_1008,GW_REF_1008,8000.00,INR,SUCCESS,2026-09-01T08:00:00Z,
TXN_1009,GW_REF_1009,3000.00,INR,SUCCESS,2026-09-04T12:00:00Z,
TXN_1011,GW_REF_1011,2000.00,INR,FAILED,2026-09-04T08:00:00Z,GATEWAY_TIMEOUT
TXN_1012,GW_REF_1012,750.00,INR,SUCCESS,2026-09-04T09:30:00Z,
TXN_1013,GW_REF_1013,6400.00,INR,SUCCESS,2026-09-04T16:00:00Z,
TXN_1014,GW_REF_1014,5000.00,INR,SUCCESS,2026-09-03T10:00:00Z,
TXN_1015,GW_REF_1015,15000.00,INR,SUCCESS,2026-08-31T10:00:00Z,
